Column1,Brian (new),Brian (new) Max
267,0.8471,0.8527
268,0.8503,0.8527
269,0.8486,0.8527
270,0.8481,0.8527
271,0.8452,0.8527
272,0.8462,0.8527
273,0.8474,0.8527
274,0.846,0.8527
275,0.847,0.8527
276,0.8456,0.8527
277,0.8251,0.8527
278,0.8449,0.8527
279,0.8535,0.8535
280,0.8494,0.8535
281,0.845,0.8535
282,0.8461,0.8535
283,0.8499,0.8535
284,0.8459,0.8535
285,0.8476,0.8535
286,0.851,0.8535
287,0.8443,0.8535
288,0.8445,0.8535
289,0.8542,0.8542
290,0.8457,0.8542
291,0.8438,0.8542
292,0.8479,0.8542
293,0.8511,0.8542
294,0.85,0.8542
295,0.8235,0.8542
296,0.8475,0.8542
297,0.8471,0.8542
298,0.8471,0.8542
299,0.8412,0.8542
300,0.8467,0.8542
301,0.8435,0.8542
302,0.8484,0.8542
303,0.8447,0.8542
304,0.8509,0.8542
305,0.8425,0.8542
306,0.846,0.8542
307,0.8491,0.8542
308,0.8454,0.8542
309,0.8491,0.8542
310,0.8486,0.8542
311,0.8512,0.8542
312,0.8507,0.8542
313,0.8527,0.8542
314,0.8481,0.8542
315,0.8494,0.8542
316,0.8465,0.8542
317,0.8476,0.8542
318,0.8429,0.8542
319,0.8488,0.8542
320,0.8476,0.8542
321,0.8483,0.8542
322,0.8485,0.8542
323,0.8464,0.8542
324,0.8527,0.8542
325,0.8488,0.8542
326,0.8519,0.8542
327,0.8506,0.8542
328,0.8513,0.8542
329,0.8495,0.8542
330,0.8443,0.8542
331,0.8499,0.8542
332,0.8506,0.8542
333,0.8494,0.8542
334,0.8465,0.8542
335,0.842,0.8542
336,0.8453,0.8542
337,0.85,0.8542
338,0.8487,0.8542
339,0.8432,0.8542
340,0.8452,0.8542
341,0.851,0.8542
342,0.85,0.8542
343,0.8501,0.8542
344,0.85,0.8542
345,0.8495,0.8542
346,0.8523,0.8542
347,0.8466,0.8542
348,0.8522,0.8542
349,0.849,0.8542
350,0.8475,0.8542
351,0.8509,0.8542
352,0.8511,0.8542
353,0.8498,0.8542
354,0.8525,0.8542
355,0.8491,0.8542
356,0.8502,0.8542
357,0.8516,0.8542
358,0.8543,0.8543
359,0.8501,0.8543
360,0.8494,0.8543
361,0.8493,0.8543
362,0.8501,0.8543
363,0.8552,0.8552
364,0.8478,0.8552
365,0.849,0.8552
366,0.8497,0.8552
367,0.8495,0.8552
368,0.8436,0.8552
369,0.8524,0.8552
370,0.8498,0.8552
371,0.853,0.8552
372,0.8461,0.8552
373,0.8521,0.8552
374,0.8517,0.8552
375,0.8498,0.8552
376,0.8517,0.8552
377,0.8472,0.8552
378,0.8441,0.8552
379,0.8499,0.8552
380,0.8492,0.8552
381,0.8469,0.8552
